오~~ 종합선물셋트,9,인피니티 워
크레딧 올라올때부터 충격먹었어요 ㅋㅋㅋㅋ 나중에 더큰 활약기대하겠습니다! 와칸다포에버!!!!,10,인피니티 워
이제 남은건타노스 밖에,10,인피니티 워
타노스는 발암물질이다.,9,인피니티 워
정말재미있게봤습니다,10,인피니티 워
"괜찮았음. 그런데 도끼자루의 그루트목재는 도끼힘을 감당하는데, 타노스한테는 훕! 한방에 쪼개지는게 옥의티랄까요.",8,인피니티 워
개인적으론 명작이라고 생각함.,9,인피니티 워
재밌어요.ㅎ,10,인피니티 워
혼란 그리고 혼란,10,인피니티 워
재밌게 봤습니다!역시 마블영화!,10,인피니티 워
재미있게 봤다,10,인피니티 워
재미있게 봤어요 어밴져는 4나올듯,10,인피니티 워
믿고보는 마블,10,인피니티 워
꿀잼~ 와칸다 포에버!,10,인피니티 워
너무 재밌어요,10,인피니티 워
잼있다,10,인피니티 워
처음부터 끝까지 전투,7,인피니티 워
이 영화가 재미없다니 5번이나 봤다 나는 1000만 관객 돌파 영상도 영화 상영 전에 찍은거면 말 다했다,10,인피니티 워
역시 블랙펜서 역시 목소리가 예술이다. 와칸다 포에버,8,인피니티 워
잼,9,인피니티 워
잼,10,인피니티 워
발지훈 발번역 땜에 재미가 반감됐다. 하필 중요부분을 발번역해서 내용이 이상해졌다. 1100만명 이상 관람 했는데~  1100만명의 149분 어떻할래? 게속 번역 맡길거냐?,1,인피니티 워
시빌워와 함께 마블 영화의 최고 작품,9,인피니티 워
기다리고 기다리던 역대급 영화였다. 4편이 매우 기대된다. 앤트맨과 호크아이가 나오지 않은게 좀 아쉬웠다. 번역때문에 스타로드는 트롤이 되고 닥스는 찐따가 됬고 닉퓨리는 효자가 됬고 아스가르드인들은 몰살 당했다(...),10,인피니티 워
................................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,인피니티 워
ㆍ,10,인피니티 워
완전 허무한 엔딩 ㅠ 중간 중간 스릴 은 있지만 내용은 정말 없다. Meaningless 이거왜봤지..  :( 그러나 토르는 멋졌다 마블은 역시 케릭터 굿!  .,1,인피니티 워
정말 스릴잇다,10,인피니티 워
마블 너무 사랑해요 최고였어요 진짜ㅜㅠ,10,인피니티 워
마지막은 좀 사기 당한...,8,인피니티 워
마블은 미쳤다  ㄹㅇ 너무 재밌어 마블 사랑해요~~~~♡♡♡♡♡☆,10,인피니티 워
아들 때문에 같이 가서 봤는데 그냥 볼만함. 히어로가 그렇게 나와도 타노스 하나 못 당하는 건 좀...ㅎㅎ,7,인피니티 워
어머니...전 불매해야할거같아요....ㅋㅋㅋㅋㅋㅋㅋㅋ이제부터 마블 박읍읍덕분에 불매합니다,1,인피니티 워
돈의 힘,10,인피니티 워
영화적 긴장감 스릴이 없음.  그냥 불꽃쇼의 연속이며 영화가 아니라 만화한편 본거 같음.   현실에 존재불가한 이야기라 현실감부족... 레디플레이어원은 현실과의 연결의 끈을 놓지 않아 감동도 느꼇는데 이건 뭐... 그냥 불꽃쇼임..  굳이 실사배우들 등장 시킬 필요없이 다 CG로 찍던가...,5,인피니티 워
마블의 숙제해결,6,인피니티 워
정말 스릴 넘쳐요!!!! 강추~~~,8,인피니티 워
"개인적으로 1, 2편은 그냥 오락영화. 3편에서야 드디어 작품이 탄생했다고 느껴지네요 ㅎㅎ. 악역도 너무 멋짐.",10,인피니티 워
너무 재미있게 봤네요,9,인피니티 워
타노스 가오라는 좀 뜨는 감이 있지만.. 그래도 . 넘 잼나게 봤어요  토르 토르  !!!  헤헷  ♡ 악당이 신념을 가질때 . 무서움,9,인피니티 워
윤곽을 지니지 않은 태두리처럼,6,인피니티 워
dksqhkwjdy,1,인피니티 워
밑에 글에 짜임새는 좋으나 존재감을 상쇄??? 니가 뭘 알긴알아???ㅋㅋㅋㅋㅋㅋㅋㅋ 여기 말고 유머게시판에가서 올려 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,인피니티 워
짜임새는 좋으나 그 많은 히어로들 출현이  서로 간의 존재감을 상쇄.  철학을 담으려 하나 결국 마블은 마블,6,인피니티 워
오락영화 넘어선 작품성   대단한 미국영화~힘이 느껴지는 작품,10,인피니티 워
어케 이게 7점밖에 안되는거지.ㅋㅋ,10,인피니티 워
ㅋㅋㅋ,9,인피니티 워
근래 마블 영화중에는 제일 볼만함. 한 8점은 충분히 나옴,9,인피니티 워
아직도 않보면 사람아니지 빨리봐라,8,인피니티 워
크으~~~,10,인피니티 워
타노스 카모라 살릴려고 과거로 되돌려서 자신이 희생하고 끝나는거아녀!후속편...,8,인피니티 워
이 세상영화가 아니다                     ㅎㅎ,10,인피니티 워
"황당하거나, 황망하거나",7,인피니티 워
간절히 바라면 우주가 돕느니라.  -어느 공주마마님-,10,인피니티 워
"1. 타노스는 악당이 아니다. 대사를 보면, 그가 그르다고 평가하기 어렵다. 2. 시간 인피니티스톤의 힘이 가장 절대적이고 강력하다. 시간의 의미. 3. 반지의제왕에 대한 오마쥬인지 아닌지 모르겠지만, 우주괴물들이 뚫린 보호막 안으로 덮쳐올때, 반지의제왕을 잠시 기억에 소환하여 그리움을 투영해봄. 어벤져스에서 반지의제왕을 느껴봄 4. 우주괴물이 뚫린 보호막사이로 압도적 양과 속도로 쓰나미처럼 덮쳐올때 1뻐로 달려나가는건 군사들이 아니라 캡틴 아메리카와 블랙팬서임. 뒤따라오는 군사들보다 엄청난 간격을 두고 미친듯이 빠르고 강하게 한순간의 망설임도 없이 달려나가는데.. 왈칵.. 눈물이 고였음 5. 동료의 희생을 감수하더라도 세계를 구하겠다, 가 아니라 그럼에도 불구하고 동료를 택하는 그들의 '결정'.  세상이 망해도 너를 구하겠다 또는 너죽고 세계를 구하느니 내가 너와 함께 죽겠다는 그 마음가짐이 어벤져스가 던지는 울림.",10,인피니티 워
웅장한 대결 속에서도 웃음이 멈추지 않는 기이한 현상을 경험했다. 고된 상황에서도 개그를 버리지 않는 히어로들이라니. 어벤져스 존재 자체가 웃음 치료사.,10,인피니티 워
킬링타임 액션영화로는 제격. 어벤저스 보면서  명작 영화를 기대하는건 아니잖아요?,10,인피니티 워
